enrolled2015,enrolled2016,enrolled2017,kg,region
na,24,9,СДЯ №1,Средец
na,na,na,"ПГ в 10 СУ ""Теодор Траянов"" (целодневна организация)",Младост
25,na,na,ДГ №9 Пламъче,Овча купел
37,50,20,ДГ №11 Мики Маус (с яслени групи),Младост
na,na,na,ДГ №11 Мики Маус - почасова организация,Младост
57,32,12,ДГ №10 Чебурашка (с яслени групи),Студентски
na,na,na,"ПГ в 8 СУ ""Васил Левски"" (полудневна организация)",Студентски
na,na,na,"ПГ в 12 СУ ""Цар Иван Асен II"" (полудневна организация)",Средец
na,na,na,ДГ №10 Чебурашка - почасова организация,Студентски
na,na,na,"ПГ в 10 СУ ""Теодор Траянов"" (полудневна организация)",Младост
na,48,16,СДЯ №12 Бебеландия,Слатина
na,na,na,"ПГ в 7 СУ ""Св. Седмочисленици"" (полудневна организация)",Средец
na,na,na,ДГ №8 Проф. д-р Елка Петрова - почасова организация,Красно село
na,na,na,"ПГ в 8 СУ ""Васил Левски"" (целодневна организация)",Студентски
40,38,21,ДГ №8 Проф. д-р Елка Петрова (с яслени групи),Красно село
na,na,na,"ПГ в 26 СУ ""Йордан Йовков"" (целодневна организация)",Витоша
55,18,20,ДГ №7 Детелина (с яслени групи),Триадица
na,na,na,"ПГ в 100 ОУ ""Hайден Геров"" (полудневна организация)",Сердика
na,na,na,ДГ №177 Лютиче - почасова организация,Подуяне
na,na,na,"ПГ в 199 ОУ ""Св. ап. Йоан Богослов"" (полудневна организация)",Подуяне
na,na,na,"ПГ в 200 ОУ ""Отец Паисий"" (полудневна организация)",Панчарево
46,20,na,ДГ №199 Сарагоса (с яслени групи),Сердика
na,na,na,ДГ №198 Косе Босе - почасова организация,Връбница
29,na,na,ДГ №197 Китна градина,Люлин
32,30,14,ДГ №198 Косе Босе (с яслени групи),Връбница
56,27,16,ДГ №200 Цветен рай (с яслени групи),Люлин
na,na,na,ДГ №196 Шарл Перо - почасова организация,Красна поляна
na,na,na,ДГ №195 Братя Мормареви - полудневни групи,Оборище
53,na,na,ДГ №196 Шарл Перо,Красна поляна
0,29,11,ДГ №195 Братя Мормареви - сграда ул. Победа 3,Оборище
na,na,na,ДГ №195 Братя Мормареви - сграда ул. Дунав,Оборище
43,na,na,ДГ №195 Братя Мормареви (с яслени групи),Оборище
na,na,na,ДГ №193 Славейче - почасова организация,Лозенец
31,na,na,ДГ №194 Милувка,Възраждане
24,na,na,ДГ №193 Славейче,Лозенец
50,na,na,ДГ №192 Лозичка,Лозенец
na,na,na,ДГ №191 Приказка без край (с яслени групи),Оборище
50,28,12,ДГ №191 Приказка без край - сграда ул. Васил Друмев,Оборище
1,na,na,ДГ №189 Сто усмивки - почасова организация,Младост
30,42,4,"ДГ №188 Вяра, Надежда, Любов (с яслени групи)",Младост
51,20,na,ДГ №189 Сто усмивки (с яслени групи),Младост
25,30,20,ДГ №187 Жар птица (с яслени групи),Красна поляна
62,34,20,ДГ №186 Деница (с яслени групи),Младост
77,50,30,ДГ №185 Звездичка (с яслени групи),Искър
75,20,1,ДГ №184 Мечо Пух (с яслени групи),Слатина
na,na,na,ДГ №182 Пчелица - почасова организация,Панчарево
25,na,na,ДГ №183 Щастливо детство,Слатина
16,na,na,ДГ №182 Пчелица,Панчарево
9,8,na,ДГ №181 Радост,Панчарево
10,1,na,ДГ №185 Звездичка - сграда Враня,Искър
na,na,na,ДГ №180 Зайченцето бяло - почасова организация,Панчарево
30,20,na,ДГ №180 Зайченцето бяло (с яслени групи),Панчарево
52,na,na,ДГ №178 Сребърно копитце (с яслени групи),Младост
na,na,na,"ПГ в 176 ОУ ""Kирил и Методий"" (полудневна организация)",Нови Искър
24,21,na,ДГ №176 Зорница (с яслени групи),Връбница
60,33,6,ДГ №179 Синчец (с яслени групи),Илинден
18,20,3,ДГ №176 Зорница - филиал с. Волуяк,Връбница
27,na,na,ДГ №177 Лютиче,Подуяне
na,na,na,ДГ №175 Слънчеви лъчи - почасова организация,Лозенец
5,20,20,ДГ №178 Сребърно копитце - сграда 2,Младост
23,22,20,ДГ №175 Слънчеви лъчи (с яслени групи),Лозенец
50,na,na,ДГ №174 Фют,Лозенец
50,na,na,ДГ №173 Звънче,Подуяне
na,na,na,"ПГ в 172 ОУ ""Христо Ботев"" (полудневна организация)",Нови Искър
na,na,na,"ПГ в 171 ОУ ""Стоил Попов"" (полудневна организация)",Нови Искър
26,na,na,ДГ №173 Звънче - сграда Алиса,Подуяне
44,38,10,ДГ №172 София (с яслени групи),Надежда
53,47,15,ДГ №171 Свобода (с яслени групи),Надежда
25,na,na,ДГ №169 Коледарче,Красна поляна
na,na,na,"ПГ в 170 СУ ""Васил Левски"" (полудневна организация)",Нови Искър
22,na,na,ДГ №168 Слънчогледи - сграда ул. Андрей Николов,Слатина
27,20,na,ДГ №170 Пчелица (с яслени групи),Надежда
27,20,23,ДГ №170 Пчелица - сграда 2,Надежда
na,na,na,ДГ №169 Коледарче - почасова организация,Красна поляна
27,na,na,ДГ №168 Слънчогледи - сграда ул. Лидице,Слатина
na,na,na,"ДГ №167 Малкият принц - сграда ул. Янко Забунов, почасова организация",Триадица
26,na,na,ДГ №168 Слънчогледи,Слатина
na,na,na,ДГ №167 Малкият принц - почасова организация,Триадица
na,na,na,ДГ №167 Малкият принц - сграда ул. Янко Забунов,Триадица
na,na,na,ДГ №165 Латинка - почасова организация,Изгрев
50,na,na,ДГ №167 Малкият принц,Триадица
na,na,na,ДГ №166 Веселушка - почасова организация,Лозенец
25,na,na,ДГ №166 Веселушка,Лозенец
57,na,na,ДГ №165 Латинка,Изгрев
na,na,na,"ПГ в 163 ОУ ""Черноризец Храбър"" (полудневна организация)",Искър
16,19,na,ДГ №164 Зорница (с яслени групи),Овча купел
na,na,na,"ПГ в 162 ОУ ""Отец Паисий"" (полудневна организация)",Кремиковци
na,na,na,ДГ №162 Вихрогонче - сграда,Красно село
na,na,na,ДГ №161 Ласка - сграда 1 ул. Евлия Челеби,Овча купел
na,11,4,"ДГ №161 Ласка - сграда 2 ж.к. Овча купел, бл. 611",Овча купел
26,38,na,ДГ №160 Драгалевци - сграда 2,Витоша
1,na,na,"ДГ №159 Олимпийче - сграда 2, почасова организация",Средец
na,na,na,ДГ №159 Олимпийче - сграда 2,Средец
19,20,na,ДГ №160 Драгалевци (с яслени групи),Витоша
28,14,5,ДГ №161 Ласка (с яслени групи),Овча купел
51,na,na,ДГ №162 Вихрогонче,Красно село
27,na,na,ДГ №159 Олимпийче,Средец
29,20,12,ДГ №158 Зора (с яслени групи),Илинден
na,na,na,"ПГ в 155 ОУ ""Св. Св.Kирил и Методий""",Панчарево
35,35,16,ДГ №157 Детска стряха (с яслени групи),Нови Искър
7,na,na,ДГ №154 Сбъдната мечта - сграда бл.73,Слатина
27,na,na,ДГ №154 Сбъдната мечта,Слатина
25,na,na,ДГ №155 Веселина - сграда 2,Слатина
25,na,na,ДГ №155 Веселина,Слатина
25,na,na,ДГ №153 Света Троица,Илинден
45,41,4,ДГ №152 Люляче (с яслени групи),Люлин
28,na,17,ДГ №151 Леда Милева - сграда ул. Оборище,Оборище
na,na,na,"ПГ в 152 ОУ ""Св. св. Кирил и Методий"" (целодневна организация)",Витоша
26,20,na,ДГ №151 Леда Милева (с яслени групи),Оборище
na,na,na,"ПГ в 149 СУ ""Иван Хаджийски"" (целодневна организация)",Овча купел
50,na,na,ДГ №149 Зорница,Сердика
18,na,na,ДГ №149 Зорница - сграда 2,Сердика
28,na,na,ДГ №148 Слънце,Подуяне
na,na,na,"ПГ в 148 ОУ ""Любомир Милетич"" (полудневна организация)",Слатина
7,na,na,ДГ №147 Славейче - филиал с. Яна,Кремиковци
5,19,10,ДГ №147 Славейче (с яслени групи),Кремиковци
na,na,na,"ПГ в 147 ОУ ""Йордан Радичков"" (полудневна организация)",Красна поляна
na,na,na,"ПГ в 146 ОУ ""Патриарх Евтимий"" (полудневна организация)",Връбница
26,na,na,ДГ №146 Звездица,Кремиковци
na,na,na,"ПГ в 145 ОУ ""Симеон Радев"" (полудневна организация)",Младост
25,na,na,ДГ №145 Българка,Красно село
na,na,na,"ПГ в 144 СУ ""Народни будители"" (полудневна организация)",Младост
76,41,19,ДГ №144 Ханс Кристиан Андерсен (с яслени групи),Искър
25,na,na,ДГ №143 Щурче,Панчарево
na,na,na,ДГ №143 Щурче - почасова организация,Панчарево
na,na,na,"ПГ в 142 ОУ ""Веселин Ханчев"" (целодневна организация)",Красно село
23,na,na,ДГ №142 - сграда ул. Хайдушка поляна,Красно село
na,na,na,ДГ №140 Зорница - почасова организация,Кремиковци
na,na,na,"ПГ в 141 OУ ""Народни будители"" (целодневна организация)",Надежда
25,na,na,ДГ №141 Славейкова поляна,Лозенец
0,na,na,ДГ №141 Славейкова поляна - сграда 2 (Логопедичен корпус),Лозенец
26,na,na,ДГ №142,Красно село
22,30,na,ДГ №140 Зорница (с яслени групи),Кремиковци
na,na,na,"ПГ в 140 СУ ""Д-р Иван Богоров"" (целодневна организация)",Връбница
na,na,na,"ПГ в 140 СУ ""Д-р Иван Богоров"" (полудневна организация)",Връбница
27,na,na,ДГ №139 Панорама - сграда ул. Луи Пастьор,Люлин
23,20,na,ДГ №139 Панорама (с яслени групи),Люлин
52,18,1,ДГ №138 Приятели (с яслени групи),Връбница
na,11,na,ДГ №137 Калина Малина (с яслени групи),Надежда
63,60,11,ДГ №137 Калина Малина - сграда ул. Александър Михов 25,Надежда
na,na,na,"ПГ в 139 ОУ ""Захарий Kруша"" (полудневна организация)",Лозенец
na,na,na,"ПГ в 136 ОУ ""Любен Kаравелов"" (полудневна организация)",Възраждане
50,na,na,ДГ №136 Славия,Красно село
na,na,na,ДГ №135 Мое детство - почасова организация,Нови Искър
3,na,na,ДГ №134 Любопитко (с логопедични групи),Красно село
1,na,na,ДГ №133 Зорница - почасова организация,Изгрев
19,na,na,ДГ №135 Мое детство,Нови Искър
na,na,na,"ПГ в 135 СУ ""Ян Амос Коменски"" (целодневна организация)",Красна поляна
20,23,na,ДГ №132 Светлина,Нови Искър
81,na,na,ДГ №133 Зорница,Изгрев
5,12,na,ДГ №132 Светлина - филиал с. Подгумер,Нови Искър
na,na,na,ДГ №132 Светлина - филиал с. Войнеговци,Нови Искър
na,na,na,"ПГ в 131 СУ ""Kлимент Арк. Тимирязев"" (полудневна организация)",Младост
na,na,na,"ПГ в 132 СУ ""Ваня Войнова"" (целодневна организация)",Красно село
27,na,na,ДГ №130 Приказка,Красна поляна
na,na,na,"ПГ в 130 СУ ""Стефан Kараджа"" (полудневна организация)",Подуяне
25,na,na,ДГ №129 Приказен свят - сграда ул. Нишава,Триадица
na,na,na,ДГ №129 Приказен свят - почасова организация,Триадица
2,na,na,"ДГ №129 Приказен свят - сграда ул. Нишава, почасова организация",Триадица
na,na,na,ДГ №129 Приказен свят,Триадица
24,20,na,ДГ №128 Феникс - сграда 2,Красна поляна
na,67,33,СДЯ №128 Слънце,Люлин
51,na,na,ДГ №128 Феникс (с яслени групи),Красна поляна
na,na,na,ДГ №127 Слънце - почасова организация,Триадица
na,na,na,ДГ №127 Слънце - сграда бл. 93 А,Триадица
na,na,na,ДГ №127 Слънце - сграда бл. 95,Триадица
na,na,na,ДГ №127 Слънце - сграда бл. 97,Триадица
na,na,na,ДГ №127 Слънце - сграда бл.91,Триадица
50,na,na,ДГ №127 Слънце - сграда ж.к. Стрелбище,Триадица
1,21,na,ДГ №127 Слънце (с яслени групи),Триадица
26,na,na,ДГ №126 Тинтява - сграда 2,Красна поляна
26,na,na,ДГ №126 Тинтява,Красна поляна
25,na,na,ДГ №125 Усмивка - сграда бул.Никола Петков,Овча купел
na,na,na,"ПГ в 126 ОУ ""Петко Ю. Тодоров"" (полудневна организация)",Триадица
25,na,na,ДГ №125 Усмивка,Овча купел
na,na,na,"ПГ в 124 ОУ ""Васил Левски"" (полудневна организация)",Подуяне
na,na,na,ДГ №124 Бърборино - почасова организация,Красно село
35,na,na,ДГ №124 Бърборино,Красно село
56,35,5,ДГ №123 Шарл Перо (с яслени групи),Младост
na,na,na,"ПГ в 123 СУ ""Стефан Стамболов"" (полудневна организация)",Красна поляна
na,na,na,"ПГ в 122 ОУ ""Николай Лилиев"" (полудневна организация)",Лозенец
na,na,na,"ПГ в 123 СУ ""Стефан Стамболов"" (целодневна организация)",Красна поляна
na,na,na,ДГ №121 - почасова организация,Нови Искър
35,26,17,ДГ №121  (с яслени групи),Нови Искър
11,12,2,ДГ №121 - филиал с. Доброславци,Нови Искър
na,na,na,"ПГ в 121 СУ ""Георги Измирлиев"" (полудневна организация)",Триадица
na,na,na,ДГ №120 Детство под липите - почасова организация,Възраждане
na,na,na,ДГ №119 Детска планета - почасова организация,Възраждане
32,35,11,ДГ №120 Детство под липите (с яслени групи),Възраждане
28,na,na,ДГ №119 Детска планета (с яслени групи),Възраждане
51,20,na,ДГ №119 Детска планета - сграда 2,Възраждане
21,na,na,ДГ №118 Усмивка,Сердика
49,20,na,ДГ №117 Надежда (с яслени групи),Младост
na,8,9,ДГ №116 Мусала - сграда Гърдова глава,Витоша
22,na,na,ДГ №116 Мусала - сграда бул. Бр. Бъкстон,Витоша
24,na,na,ДГ №116 Мусала (с яслени групи),Витоша
20,na,na,ДГ №116 Мусала - сграда бул. Ал. Пушкин №2,Витоша
2,45,29,ДГ №115 Осми март - сграда ул. 8-ми март 15,Надежда
52,na,na,ДГ №113 Преспа,Средец
na,na,na,ДГ №113 Преспа - сграда,Средец
25,na,na,ДГ №112 Детски свят,Витоша
na,na,na,"ПГ в 113 СУ ""Сава Филаретов"" (полудневна организация)",Илинден
19,10,na,ДГ №115 Осми март (с яслени групи),Надежда
na,na,na,ДГ №112 Детски свят - сграда 2,Витоша
25,na,na,ДГ №115 Осми март - сграда Връбница,Надежда
15,22,na,ДГ №114 Светулка (с яслени групи),Нови Искър
1,na,na,ДГ №111 Корабче - почасова организация,Лозенец
na,na,na,"ПГ в 112 ОУ ""Стоян Заимов"" (полудневна организация)",Оборище
na,na,na,"ДГ №110 Слънчева мечта - сграда 2, почасова организация",Подуяне
25,na,na,ДГ №111 Корабче,Лозенец
na,na,na,ДГ №110 Слънчева мечта - почасова организация,Подуяне
53,41,3,ДГ №109 Зорница (с яслени групи),Младост
26,17,3,ДГ №110 Слънчева мечта (с яслени групи),Подуяне
28,8,na,ДГ №110 Слънчева мечта - сграда 2,Подуяне
26,na,na,ДГ №108 Детско царство - сграда до бл. 42,Искър
28,na,na,ДГ №107 Бон-бон,Красно село
29,na,na,ДГ №108 Детско царство,Искър
27,na,na,ДГ №106 Княгиня Мария-Луиза,Сердика
na,na,na,"ПГ в 106 ОУ ""Григорий Цамблак"" (полудневна организация)",Подуяне
0,na,na,ДГ №105 Ракета - почасова организация,Подуяне
na,na,na,ДГ №104 Моят свят - сграда 4,Оборище
49,31,8,ДГ №105 Ракета (с яслени групи),Подуяне
29,na,na,ДГ №104 Моят свят - сграда 2,Оборище
25,na,na,ДГ №104 Моят свят - сграда 3,Оборище
na,na,na,"ПГ в 103 ОУ ""Васил Левски"" (полудневна организация)",Люлин
28,na,na,ДГ №104 Моят свят,Оборище
na,na,na,ДГ №103 Патиланско царство - почасова организация,Подуяне
50,22,17,ДГ №103 Патиланско царство (с яслени групи),Подуяне
13,24,na,ДГ №102 Кременица,Нови Искър
