enrolled2015,enrolled2016,enrolled2017,kg,region
9,2,na,ДГ №102 Кременица - сграда кв. Гниляне,Нови Искър
9,4,na,ДГ №102 Кременица - филиал с. Кътина,Нови Искър
na,na,na,"ПГ в 101 СУ ""Бачо Kиро"" (полудневна организация)",Надежда
54,28,16,ДГ №101 Ябълкова градина (с яслени групи),Люлин
30,na,na,ДГ №100 Акад. Пенчо Н. Райков - сграда ул. Велико Търново № 4,Оборище
0,na,na,ДГ №100 Акад. Пенчо Н. Райков - сграда ул. Марин Дринов 11А,Оборище
na,na,na,ДГ №99 Брезичка - почасова организация,Красно село
na,na,na,ДГ №100 Акад. Пенчо Н. Райков,Оборище
na,na,na,ДГ №99 Брезичка - сграда бл. 1,Красно село
na,na,na,ДГ №99 Брезичка - сграда бл.23,Красно село
na,na,na,ДГ №99 Брезичка - сграда бл.6,Красно село
na,na,na,ДГ №99 Брезичка - сграда бл.31,Красно село
19,25,na,ДГ №99 Брезичка,Красно село
24,na,na,ДГ №99 Брезичка - сграда бл.4,Красно село
0,na,na,ДГ №98 Слънчево зайче - почасова организация,Младост
54,31,9,ДГ №98 Слънчево зайче (с яслени групи),Младост
14,20,na,ДГ №97 Изгрев - сграда с. Долни Лозен,Панчарево
26,na,na,ДГ №97 Изгрев (с яслени групи),Панчарево
na,na,na,"ПГ в 97 СУ ""Братя Миладинови"" (целодневна организация)",Люлин
na,na,na,"ПГ в 97 СУ ""Братя Миладинови"" (полудневна организация)",Люлин
na,na,na,ДГ №95 Омайниче - почасова организация,Люлин
25,21,na,ДГ №96 Росна китка (с яслени групи),Искър
0,na,na,ДГ №94 Детски свят - почасова организация,Кремиковци
29,26,22,ДГ №95 Омайниче (с яслени групи),Люлин
na,na,na,"ПГ в 94 СУ ""Димитър Страшимиров"" (полудневна организация)",Слатина
24,24,na,ДГ №94 Детски свят (с яслени групи),Кремиковци
na,na,na,"ПГ в 93 СУ ""Александър Балан"" (полудневна организация)",Слатина
na,na,na,ДГ №93 Чуден свят - сграда бл. 195,Красно село
na,na,na,"ПГ в 93 СУ ""Александър Балан"" (целодневна организация)",Слатина
80,59,21,ДГ №93 Чуден свят (с яслени групи),Красно село
na,na,na,"ПГ в 92 ОУ ""Димитър Талев"" (целодневна организация)",Красна поляна
24,13,6,ДГ №92 Мечта (с яслени групи),Подуяне
na,na,na,"ДГ №92 Мечта - сграда Левски В, почасова организация",Подуяне
na,na,na,ДГ №92 Мечта - почасова организация,Подуяне
0,na,na,ДГ №91 Слънчев кът - почасова организация,Подуяне
48,16,4,ДГ №92 Мечта - сграда Левски В,Подуяне
49,30,10,ДГ №91 Слънчев кът (с яслени групи),Подуяне
na,na,na,"ПГ в 90 СУ ""Ген. Хосе де Сан Мартин"" (полудневна организация)",Люлин
39,9,11,ДГ №90 Веса Паспалеева - сграда ул. Бял люляк 19,Надежда
48,18,24,ДГ №90 Веса Паспалеева (с яслени групи),Надежда
21,24,na,ДГ №89 Шарена дъга (с яслени групи),Кремиковци
na,na,na,"ПГ в 88 СУ ""Димитър Попниколов"" (полудневна организация)",Овча купел
51,17,4,ДГ №88 Детски рай (с яслени групи),Искър
na,na,na,"ПГ в 89 ОУ ""Д-р Христо Стамболски"" (полудневна организация)",Искър
na,na,na,ДГ №87 Буката - сграда 2,Триадица
2,na,na,ДГ №87 Буката - почасова организация,Триадица
50,na,na,ДГ №87 Буката,Триадица
50,31,8,ДГ №86 Асен Босев (с яслени групи),Люлин
25,na,na,ДГ №85 Родина,Красно село
16,40,na,ДГ №84 Детелина (с яслени групи),Овча купел
na,na,na,"ПГ в 84 ОУ ""Васил Левски"" (целодневна организация)",Панчарево
na,na,na,"ПГ в 86 ОУ ""Св. Kлимент Охридски"" (целодневна организация)",Витоша
na,na,na,"ПГ в 83 ОУ ""Елин Пелин"" (полудневна организация)",Панчарево
8,na,na,ДГ №83 Славейче - сграда Требич,Надежда
47,19,na,ДГ №82 Джани Родари (с яслени групи),Връбница
13,9,na,ДГ №83 Славейче (с яслени групи),Надежда
na,na,na,"ПГ в 82 ОУ ""Васил Априлов"" (полудневна организация)",Младост
75,26,10,ДГ №81 Лилия (с яслени групи),Възраждане
na,na,na,ДГ №81 Лилия - почасова организация,Възраждане
na,na,na,"ПГ в 82 ОУ ""Васил Априлов"" (целодневна организация)",Младост
69,34,6,ДГ №80 Приказна калина (с яслени групи),Красно село
na,na,na,"ПГ в 79 СУ ""Индира Ганди"" (полудневна организация)",Люлин
na,na,na,"ПГ в 78 СУ ""Христо Смирненски"" (целодневна организация)",Банкя
na,na,na,ДГ №79 Слънчице - почасова организация,Студентски
na,na,na,ДГ №78 Детски свят - почасова организация,Студентски
54,20,20,ДГ №78 Детски свят (с яслени групи),Студентски
na,na,na,ДГ №77 Магнолия - почасова организация,Средец
28,na,na,ДГ №77 Магнолия,Средец
50,74,22,ДГ №76 Сърничка - сграда 2,Младост
na,na,na,"ПГ в 76 ОУ ""Уилям Сароян"" (полудневна организация)",Възраждане
0,na,na,ДГ №75 Сърчице - почасова организация,Младост
na,na,na,"ПГ в 75 ОУ ""Тодор Kаблешков"" (полудневна организация)",Красна поляна
30,40,7,ДГ №76 Сърничка (с яслени групи),Младост
49,25,20,ДГ №75 Сърчице (с яслени групи),Младост
na,na,na,"ПГ в 74 СУ ""Гоце Делчев"" (полудневна организация)",Връбница
49,27,11,ДГ №74 Дъга (с яслени групи),Подуяне
52,26,na,ДГ №72 Приказка без край (с яслени групи),Студентски
48,34,7,ДГ №73 Маргарита (с яслени групи),Люлин
na,na,na,"ПГ в 71 СУ ""Пейо Kрачолов Яворов"" (полудневна организация)",Панчарево
27,16,4,ДГ №71 Щастие (с яслени групи),Младост
na,na,na,"ПГ в 70 ОУ ""Св. Kлимент Охридски"" (полудневна организация)",Връбница
21,20,na,ДГ №70 Пролет (с яслени групи),Младост
na,50,14,СДЯ №70 Мечо Пух,Сердика
na,78,18,СДЯ №69,Студентски
na,na,na,"ПГ в 69 СУ ""Димитър Маринов"" (полудневна организация)",Искър
2,na,na,ДГ №68 Ран Босилек - почасова организация,Люлин
54,33,6,ДГ №69 Жар птица (с яслени групи),Подуяне
49,43,11,ДГ №68 Ран Босилек (с яслени групи),Люлин
73,60,7,ДГ №79 Слънчице (с яслени групи),Студентски
na,na,na,"ПГ в 68 СУ ""Акад. Н. Обрешков"" (полудневна организация)",Искър
na,na,na,"ПГ в 67 ОУ ""Васил Друмев"" (полудневна организация)",Възраждане
1,na,na,ДГ №67 Чучулига - почасова организация,Красно село
na,na,na,ДГ №67 Чучулига - сграда бл. 8,Красно село
24,na,na,ДГ №67 Чучулига,Красно село
0,na,na,ДГ №66 Елица - почасова организация,Панчарево
44,25,23,ДГ №66 Елица (с яслени групи),Панчарево
na,na,na,"ПГ в 66 СУ ""Филип Станиславов"" (полудневна организация)",Овча купел
na,49,19,СДЯ №66,Овча купел
2,na,na,ДГ №65 Слънчево детство - почасова организация,Слатина
na,na,na,"ПГ в 64 ОУ ""Цар Симеон Велики"" (полудневна организация)",Витоша
na,na,na,"ПГ в 63 ОУ ""Христо Ботев"" (целодневна организация)",Надежда
46,42,20,ДГ №65 Слънчево детство (с яслени групи),Слатина
0,na,na,ДГ №64 Първи юни - почасова организация,Люлин
na,43,21,СДЯ №63 Беборани,Подуяне
52,40,10,ДГ №64 Първи юни (с яслени групи),Люлин
54,32,23,ДГ №63 Слънце (с яслени групи),Сердика
28,na,na,ДГ №62 Зорница,Слатина
46,39,4,ДГ №59 Елхица (с яслени групи),Младост
na,na,na,"ПГ в 59 ОУ ""Васил Левски"" (полудневна организация)",Сердика
0,na,na,ДГ №58 Слънчево утро - почасова организация,Кремиковци
na,na,na,"ПГ в 61 ОУ ""Св. св. Kирил и Методий"" (полудневна организация)",Връбница
75,41,15,ДГ №61 Шарено петле (с яслени групи),Слатина
25,na,na,ДГ №60 Бор,Витоша
na,na,na,"ПГ в 60 ОУ ""Св. св. Kирил и Методий"" (полудневна организация)",Сердика
27,31,na,ДГ №58 Слънчево утро (с яслени групи),Кремиковци
na,45,20,СДЯ №58,Подуяне
na,na,na,"ПГ в 58 ОУ ""Сергей Румянцев"" (целодневна организация)",Сердика
24,na,na,ДГ №57 Хосе Марти,Люлин
48,22,21,ДГ №56 Здравец (с яслени групи),Младост
na,48,17,СДЯ №57 Приказка,Слатина
26,18,19,ДГ №55 Иглика (с яслени групи),Люлин
na,47,14,СДЯ №56 Калина,Слатина
na,25,8,СДЯ №55,Витоша
na,na,na,"ПГ в 55 СУ ""Петко Kаравелов"" (полудневна организация)",Студентски
na,na,na,"ПГ в 52 ОУ ""Цанко Церковски"" (целодневна организация)",Витоша
25,38,na,ДГ №52 Илинденче - сграда ул. Кукуш № 1,Илинден
53,na,na,ДГ №52 Илинденче (с яслени групи),Илинден
na,42,26,СДЯ №51,Красна поляна
22,20,20,ДГ №54 Дъга (с яслени групи),Красна поляна
18,24,18,ДГ №53 Дядовата ръкавичка (с яслени групи),Сердика
43,40,21,ДГ №51 Щурче (с яслени групи),Илинден
na,na,na,"ПГ в 50 ОУ ""Васил Левски"" (полудневна организация)",Витоша
na,na,na,"ПГ в 48 ОУ ""Йосиф Kовачев"" (полудневна организация)",Сердика
44,24,12,ДГ №50 Зайчето Куики (с яслени групи),Възраждане
58,35,8,ДГ №49 Радост (с яслени групи),Изгрев
na,44,21,СДЯ №48,Красна поляна
45,46,16,ДГ №48 Братя Грим (с яслени групи),Сердика
na,na,na,"ПГ в 49 ОУ ""Бенито Хуарес"" (полудневна организация)",Подуяне
66,38,16,ДГ №47 Незабравка (с яслени групи),Люлин
na,na,na,ДГ №47 Незабравка - почасова организация,Люлин
na,na,na,"ПГ в 47 СУ ""Христо Г. Данов"" (полудневна организация)",Триадица
na,na,na,ДГ №46 Жива вода - почасова организация,Витоша
na,50,17,СДЯ №46 Мики Маус,Лозенец
43,18,2,ДГ №46 Жива вода (с яслени групи),Витоша
na,na,na,"ПГ в 45 ОУ ""Kонстантин Величков"" (полудневна организация)",Илинден
na,44,20,СДЯ №45 Майор Франк Томпсън,Лозенец
na,26,6,СДЯ №44,Панчарево
0,na,na,ДГ №44 Калина - почасова организация,Кремиковци
25,na,na,ДГ №45 Алиса,Сердика
na,na,na,"ПГ в 42 ОУ ""Хаджи Димитър"" (полудневна организация)",Подуяне
34,28,na,ДГ №44 Калина (с яслени групи),Кремиковци
31,49,8,ДГ №42 Чайка (с яслени групи),Връбница
53,14,na,ДГ №43 Талант (с яслени групи),Триадица
15,na,na,ДГ №41 Приятели,Витоша
na,78,18,СДЯ №41 Ябълкова градина,Люлин
na,na,na,"ПГ в 40 СУ ""Луи Пастьор"" (полудневна организация)",Люлин
na,na,na,"ПГ в 41 ОУ ""Св. Патриарх Евтимий"" (полудневна организация)",Триадица
25,na,na,ДГ №40 Д-р Г. Ангушев,Триадица
na,37,13,СДЯ №38,Кремиковци
2,na,na,ДГ №40 Д-р Г. Ангушев - почасова организация,Триадица
na,na,na,"ПГ в 39 СУ ""Петър Динеков"" (полудневна организация)",Младост
42,30,8,ДГ №39 Пролет (с яслени групи),Овча купел
54,37,8,ДГ №38 Дора Габе (с яслени групи),Надежда
na,na,na,"ПГ в 37 СУ ""Райна Kнягиня"" (полудневна организация)",Люлин
50,20,21,ДГ №37 Вълшебство (с яслени групи),Витоша
na,49,28,СДЯ №36 Слънчево зайче,Изгрев
61,41,22,ДГ №36 Пеперуда (с яслени групи),Искър
56,29,11,ДГ №35 Щастливо детство (с яслени групи),Люлин
4,na,na,ДГ №35 Щастливо детство - почасова организация,Люлин
na,40,24,СДЯ №35 Вълшебство,Триадица
na,na,na,ДГ №34 Брезичка - почасова организация,Изгрев
36,16,21,ДГ №33 Сребърни звънчета (с яслени групи),Овча купел
47,33,7,ДГ №34 Брезичка (с яслени групи),Изгрев
na,na,na,"ПГ в 34 ОУ ""Стою Шишков"" (полудневна организация)",Красно село
30,30,10,ДГ №32 Българче (с яслени групи),Люлин
52,28,14,ДГ №31 Люлин (с яслени групи),Люлин
na,44,23,СДЯ №31 Палавници,Красно село
8,21,10,ДГ №30 Радецки - сграда 2,Изгрев
7,9,na,ДГ №30 Радецки (с яслени групи),Изгрев
na,na,na,"ПГ в 29 СУ ""Кузман Шапкарев"" (полудневна организация)",Сердика
64,38,18,ДГ №29 Слънце (с яслени групи),Изгрев
na,na,na,"ПГ в 29 СУ ""Кузман Шапкарев"" (целодневна организация)",Сердика
53,35,11,ДГ №28 Ян Бибиян (с яслени групи),Младост
na,na,na,"ПГ в 28 СУ ""Алеко Kонстантинов"" (полудневна организация)",Красна поляна
na,35,18,СДЯ №28,Средец
na,na,na,"ПГ в 27 СУ ""Георги Kараславов"" (целодневна организация)",Люлин
na,na,na,"ПГ в 27 СУ ""Георги Kараславов"" (полудневна организация)",Люлин
30,33,13,ДГ №27 Детска китка - сграда ул. Иван Кулин,Надежда
na,na,na,ДГ №27 Детска китка (с яслени групи),Надежда
na,na,na,ДГ №25 Изворче - почасова организация,Банкя
29,30,20,ДГ №26 Калина (с яслени групи),Младост
na,37,18,ДГ №25 Изворче - сграда 2,Банкя
54,na,na,ДГ №25 Изворче (с яслени групи),Банкя
na,na,na,"ПГ в 25 ОУ ""Д-р Петър Берон"" (полудневна организация)",Красно село
35,20,na,ДГ №23 Здраве (с яслени групи),Изгрев
48,30,10,ДГ №24 Надежда (с яслени групи),Надежда
na,53,11,СДЯ №23 Ралица,Лозенец
na,49,15,СДЯ №21 Бон-Бон,Триадица
29,na,na,ДГ №21 Ежко Бежко (с яслени групи),Искър
84,60,24,ДГ №21 Ежко Бежко - сграда 2,Искър
52,20,na,ДГ №22 Великденче (с яслени групи),Люлин
na,na,na,"ПГ в 21 СУ ""Христо Ботев"" (целодневна организация)",Лозенец
2,na,na,ДГ №19 Света София - почасова организация,Лозенец
51,21,na,ДГ №20 Жасминов парк,Подуяне
46,na,na,ДГ №19 Света София,Лозенец
na,na,5,ДГ №18 Детски свят - сграда 2,Средец
27,24,12,ДГ №18 Детски свят (с яслени групи),Средец
na,na,na,ДГ №16 Приказен свят - почасова организация,Студентски
31,43,5,ДГ №17 Мечо Пух (с яслени групи),Младост
50,na,na,ДГ №16 Приказен свят (с яслени групи),Студентски
na,40,na,ДГ №16 Приказен свят - сграда 2,Студентски
na,na,na,"ПГ в 16 ОУ ""Райко Жинзифов"" (полудневна организация)",Надежда
57,16,24,ДГ №15 Чучулига (с яслени групи),Надежда
na,na,na,"ПГ в 15 СУ ""Адам Мицкевич"" (полудневна организация)",Надежда
na,na,na,"ПГ в 14 СУ ""Проф. Асен Златаров"" (полудневна организация)",Сердика
51,26,15,ДГ №14 Карлсон (с яслени групи),Младост
54,49,29,ДГ №13 Калинка (с яслени групи),Искър
55,30,16,ДГ №12 Лилия (с яслени групи),Студентски
39,41,na,ДГ №6 Вълшебен свят (с яслени групи),Надежда
na,na,na,ДГ №6 Вълшебен свят - сграда 2,Надежда
20,na,na,ДГ №5 Надежда - сграда Обеля 2,Връбница
4,na,na,ДГ №5 Надежда - сграда Връбница 2,Връбница
11,na,na,ДГ №5 Надежда - сграда Обеля 1,Връбница
21,na,0,ДГ №5 Надежда (с яслени групи),Връбница
na,na,na,ДГ №3 Детелина - Експериментална сграда,Панчарево
na,na,na,"ПГ в 4 ОУ ""Проф. Джон Атанасов"" (полудневна организация)",Искър
39,na,na,ДГ №4 Слънчо,Витоша
na,na,na,"ПГ в 5 ОУ ""Иван Вазов"" (целодневна организация)",Витоша
43,5,na,ДГ №3 Детелина,Панчарево
28,20,na,ДГ №1  (с яслени групи),Възраждане
94,11,na,ДГ №2 Звънче (с яслени групи),Триадица
